image,algorithm,original_entropy,encrypted_entropy,entropy_improvement,npcr,uaci,avalanche,horizontal_corr_original,horizontal_corr_encrypted,file_size_original,file_size_encrypted,key_sensitivity_npcr,key_sensitivity_uaci,key_sensitivity_avalanche,iv_sensitivity_npcr
checkerboard,stream-rc4-custom,2.584963,7.999789,+5.414826,99.599711%,35.840574%,50.003862%,0.941292,0.000194,786432,786432,,,,
gradient,stream-rc4-custom,7.971642,7.999746,+0.028104,99.606959%,32.081793%,49.996201%,0.999964,0.000579,786432,786432,,,,
my,stream-rc4-custom,7.157233,7.999993,+0.842760,99.610400%,36.948461%,49.997692%,0.992382,0.000522,24883200,24883200,,,,
checkerboard_stream,stream-rc4-custom,2.584963,7.999772,+5.414809,99.612554%,35.848553%,49.986092%,0.941292,0.001286,786432,786432,99.602763%,33.454298%,49.974187%,0.000000%
gradient_stream,stream-rc4-custom,7.971642,7.999750,+0.028108,99.603907%,32.096729%,50.018326%,0.999964,0.002040,786432,786432,99.606069%,33.475446%,49.998840%,0.000000%
my_stream,stream-rc4-custom,7.157233,7.999993,+0.842760,99.609383%,36.950948%,50.004247%,0.992382,-0.000099,24883200,24883200,99.609974%,33.463374%,50.002321%,0.000000%
checkerboard_ecb,stream-rc4-custom,2.584963,6.410675,+3.825712,100.000000%,38.766340%,51.692708%,0.941292,-0.320073,786432,786448,99.611664%,33.505488%,50.004752%,0.000000%
gradient_ecb,stream-rc4-custom,7.971642,7.999751,+0.028109,99.606323%,32.081853%,50.016896%,0.999964,-0.001410,786432,786448,99.602509%,33.429074%,50.003497%,0.000000%
my_ecb,stream-rc4-custom,7.157233,7.998599,+0.841366,99.578744%,36.981102%,49.976156%,0.992382,-0.003086,24883200,24883216,99.609254%,33.460329%,49.993667%,0.000000%
checkerboard_cbc,stream-rc4-custom,2.584963,7.999777,+5.414815,99.609502%,35.847912%,49.991337%,0.941292,-0.000489,786432,786448,99.610901%,33.441019%,49.954859%,0.000000%
